Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,note,Output
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-adapter-configMap.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-adapter-deployment.yaml,,1.0,1.0,,,,1.0,,,,,,,,"INSECURE_HTTP, NO_NETWORK_POLICY"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-adapter-roleBindingAuthReader.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-adapter-serviceAccount.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-clusterRole.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-clusterRoleBinding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-roleBindingConfig.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-roleBindingSpecificNamespaces.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-roleConfig.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-roleSpecificNamespaces.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\prometheus-serviceAccount.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\setup\prometheus-operator-0podmonitorCustomResourceDefinition.yaml,,,0.0,,,,,,,,,,,,
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\setup\prometheus-operator-clusterRole.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\setup\prometheus-operator-clusterRoleBinding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\setup\prometheus-operator-deployment.yaml,,1.0,0.0,,,,,,,,,,,,"INSECURE_HTTP, NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\setup\prometheus-operator-serviceAccount.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\samples\sample-pv-grafana.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\samples\sample-pv-prometheus.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\default\manager_auth_proxy_patch.yaml,,1.0,1.0,,,,1.0,,,,,,,,"INSECURE_HTTP, NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\default\manager_config_patch.yaml,,1.0,1.0,,,,1.0,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\manager\manager.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\auth_proxy_client_clusterrole.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\auth_proxy_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\auth_proxy_role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\edgedevice_editor_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\edgedevice_viewer_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\leader_election_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\leader_election_role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\service_account.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\telemetryservice_editor_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\config\rbac\telemetryservice_viewer_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\install\config_default.yaml,,1.0,0.0,,,,,,,,,,,,
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\install\config_sa.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\k8s\crd\install\shifu_install.yml,,1.0,0.0,,,,,,,,,,,,
shifu,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\shifu\pkg\telemetryservice\install\telemetryservice_install.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\default\manager_auth_proxy_patch.yaml,,1.0,0.0,,,,,,,,,,,,"INSECURE_HTTP, NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\default\manager_config_patch.yaml,,1.0,1.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\manager\manager.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\auth_proxy_client_clusterrole.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\auth_proxy_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\auth_proxy_role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\clusterinsight_editor_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\clusterinsight_viewer_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\leader_election_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\leader_election_role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\pluginsubscription_editor_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\pluginsubscription_viewer_role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\role.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\role_binding.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\config\rbac\service_account.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\kubeeye.yaml,,1.0,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\kubeeye_plugin_kubebench.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\kubeeye_plugin_kubehunter.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\kubeeye_plugin_kubescape.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\deployment.yaml,Helm,1.0,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\leader-election-role.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\leaderelection-rolebinding.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\manager-configmap.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\manager-role.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\manager-rolebinding.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\metricsreader-clusterrole.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\proxy-clusterrole.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\proxy-rolebinding.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\deploy\charts\templates\serviceaccount.yaml,Helm,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\pkg\expend\deploymentfiles\kubebench.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\pkg\expend\deploymentfiles\kubehunter.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\pkg\expend\deploymentfiles\kubescape.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\pkg\expend\deploymentfiles\npd-resources.yaml,,1.0,1.0,,,,,,,,,1.0,,,"SEC_CONT_OVER_PRIVIL, NO_NETWORK_POLICY"
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\cfg\ack-1.0\policies.yaml,,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\cfg\cis-1.5\policies.yaml,,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\cfg\cis-1.6\policies.yaml,,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\cfg\gke-1.0\policies.yaml,,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\cfg\gke-1.2.0\policies.yaml,,,0.0,,,,,,,,,,,,
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubebench\deploy\kubebench.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubehunter\deploy\kubehunter.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
kubeeye,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubeeye\plugins\kubescapeplugin\deploy\kubescape.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\deployment.yaml,Helm,1.0,1.0,,,,1.0,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\hpa.yaml,Helm,,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\ingress.yaml,Helm,,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\pdb.yaml,Helm,,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\serviceaccount.yaml,Helm,,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\redis\config.yaml,Helm,,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\charts\podinfo\templates\redis\deployment.yaml,Helm,1.0,0.0,,,,,,,,,,,,
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\bases\backend\deployment.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\bases\backend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\bases\cache\deployment.yaml,,1.0,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\bases\frontend\deployment.yaml,,,0.0,,,,,,,,,,,,"INSECURE_HTTP, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\bases\frontend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\backend\deployment.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\backend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\common\reconciler-rbac.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\common\service-account.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\frontend\deployment.yaml,,1.0,0.0,,,,,,,,,,,,"INSECURE_HTTP, NO_NETWORK_POLICY, ALLOW_PRIVI"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\secure\frontend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\backend\deployment.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\backend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\common\reconciler-rbac.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\common\service-account.yaml,,,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\frontend\deployment.yaml,,1.0,0.0,,,,,,,,,,,,"INSECURE_HTTP, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\deploy\webapp\frontend\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\kustomize\deployment.yaml,,1.0,0.0,,,,,,,,,,,,NO_NETWORK_POLICY
podinfo,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\podinfo\kustomize\hpa.yaml,,,0.0,,,,,,,,,,,,"NO_ROLLING_UPDATE, NO_NETWORK_POLICY"
Reloader,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\Reloader\deployments\kubernetes\reloader.yaml,,1.0,0.0,,,,,,,,,,,,"NO_DEFAULT_NSPACE, NO_NETWORK_POLICY"
